datetime,fecha,tramo,DOMICILIO,LLEVAR,LOCAL,RECOGER
2024-01-04 19:45:00,2024-01-04,19:45 - 19:59,1,0,0,3
2024-01-04 20:00:00,2024-01-04,20:00 - 20:14,2,0,0,2
2024-01-04 20:15:00,2024-01-04,20:15 - 20:29,3,0,0,2
2024-01-04 20:30:00,2024-01-04,20:30 - 20:44,3,1,0,1
2024-01-04 20:45:00,2024-01-04,20:45 - 20:59,2,1,0,2
2024-01-04 21:00:00,2024-01-04,21:00 - 21:14,1,1,0,2
2024-01-04 21:15:00,2024-01-04,21:15 - 21:29,1,2,3,3
2024-01-04 21:30:00,2024-01-04,21:30 - 21:44,1,1,1,1
2024-01-04 21:45:00,2024-01-04,21:45 - 21:59,2,0,0,2
2024-01-04 22:00:00,2024-01-04,22:00 - 22:14,1,0,0,1
2024-01-04 22:15:00,2024-01-04,22:15 - 22:29,2,0,0,0
2024-01-04 22:30:00,2024-01-04,22:30 - 22:44,0,0,1,0
2024-01-04 22:45:00,2024-01-04,22:45 - 22:59,1,1,0,0
2024-01-04 23:00:00,2024-01-04,23:00 - 23:14,0,0,0,0
2024-01-04 23:15:00,2024-01-04,23:15 - 23:29,0,0,0,0
2024-01-05 13:00:00,2024-01-05,13:00 - 13:14,0,0,0,1
2024-01-05 13:15:00,2024-01-05,13:15 - 13:29,0,0,0,0
2024-01-05 13:30:00,2024-01-05,13:30 - 13:44,3,0,0,0
2024-01-05 13:45:00,2024-01-05,13:45 - 13:59,1,0,0,0
2024-01-05 14:00:00,2024-01-05,14:00 - 14:14,0,0,0,0
2024-01-05 14:15:00,2024-01-05,14:15 - 14:29,2,0,0,1
2024-01-05 14:30:00,2024-01-05,14:30 - 14:44,0,0,0,0
2024-01-05 14:45:00,2024-01-05,14:45 - 14:59,0,0,0,0
2024-01-05 15:00:00,2024-01-05,15:00 - 15:14,0,0,0,0
2024-01-05 15:15:00,2024-01-05,15:15 - 15:29,0,0,0,0
2024-01-05 15:30:00,2024-01-05,15:30 - 15:44,0,0,0,0
2024-01-05 15:45:00,2024-01-05,15:45 - 15:59,0,0,0,0
2024-01-05 17:45:00,2024-01-05,17:45 - 17:59,0,0,0,0
2024-01-05 18:45:00,2024-01-05,18:45 - 18:59,1,0,0,0
2024-01-05 19:00:00,2024-01-05,19:00 - 19:14,2,0,0,1
2024-01-05 19:15:00,2024-01-05,19:15 - 19:29,1,0,1,0
2024-01-05 19:30:00,2024-01-05,19:30 - 19:44,1,0,0,1
2024-01-05 19:45:00,2024-01-05,19:45 - 19:59,3,2,0,0
2024-01-05 20:00:00,2024-01-05,20:00 - 20:14,7,1,0,1
2024-01-05 20:15:00,2024-01-05,20:15 - 20:29,3,1,0,1
2024-01-05 20:30:00,2024-01-05,20:30 - 20:44,10,1,0,5
2024-01-05 20:45:00,2024-01-05,20:45 - 20:59,5,0,0,1
2024-01-05 21:00:00,2024-01-05,21:00 - 21:14,5,0,0,1
2024-01-05 21:15:00,2024-01-05,21:15 - 21:29,4,0,1,0
2024-01-05 21:30:00,2024-01-05,21:30 - 21:44,3,2,0,1
2024-01-05 21:45:00,2024-01-05,21:45 - 21:59,0,0,0,0
2024-01-05 22:00:00,2024-01-05,22:00 - 22:14,0,0,0,0
2024-01-05 22:15:00,2024-01-05,22:15 - 22:29,1,0,0,0
2024-01-05 22:30:00,2024-01-05,22:30 - 22:44,0,0,1,0
2024-01-05 22:45:00,2024-01-05,22:45 - 22:59,0,1,0,0
2024-01-05 23:00:00,2024-01-05,23:00 - 23:14,0,0,0,0
2024-01-05 23:15:00,2024-01-05,23:15 - 23:29,0,0,0,0
2024-01-06 13:00:00,2024-01-06,13:00 - 13:14,2,0,0,0
2024-01-06 13:15:00,2024-01-06,13:15 - 13:29,1,0,0,0
2024-01-06 13:30:00,2024-01-06,13:30 - 13:44,1,0,0,1
2024-01-06 13:45:00,2024-01-06,13:45 - 13:59,1,0,0,1
2024-01-06 14:00:00,2024-01-06,14:00 - 14:14,1,0,0,0
2024-01-06 14:15:00,2024-01-06,14:15 - 14:29,2,0,0,1
2024-01-06 14:30:00,2024-01-06,14:30 - 14:44,0,0,0,1
2024-01-06 14:45:00,2024-01-06,14:45 - 14:59,0,0,0,2
2024-01-06 15:00:00,2024-01-06,15:00 - 15:14,1,0,0,0
2024-01-06 15:15:00,2024-01-06,15:15 - 15:29,0,0,0,0
2024-01-06 15:30:00,2024-01-06,15:30 - 15:44,0,1,0,0
2024-01-06 15:45:00,2024-01-06,15:45 - 15:59,0,0,0,0
2024-01-06 17:45:00,2024-01-06,17:45 - 17:59,0,0,0,0
2024-01-06 18:45:00,2024-01-06,18:45 - 18:59,1,0,0,0
2024-01-06 19:00:00,2024-01-06,19:00 - 19:14,3,0,0,0
2024-01-06 19:15:00,2024-01-06,19:15 - 19:29,0,0,0,1
2024-01-06 19:30:00,2024-01-06,19:30 - 19:44,3,1,0,0
